feature,importance,fold
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,16,1
PREV_NAME_CASH_LOAN_PURPOSE_Money_for_a_third_person_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,13,1
PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Refusal_to_name_the_goal_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,13,1
PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,22,1
PREV_NAME_CASH_LOAN_PURPOSE_Wedding___gift___holiday_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,9,1
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,69,1
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,89,1
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,116,1
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,133,1
PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN,4,1
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,73,1
PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN,11,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,111,1
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0,1
PREV_CODE_REJECT_REASON_CLIENT_MEAN,0,1
PREV_CODE_REJECT_REASON_HC_MEAN,68,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,34,1
PREV_CODE_REJECT_REASON_SCO_MEAN,91,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,21,1
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,1
PREV_CODE_REJECT_REASON_VERIF_MEAN,13,1
PREV_CODE_REJECT_REASON_XAP_MEAN,56,1
