feature,importance,fold
PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,0,1
PREV_NAME_TYPE_SUITE_Other_A_MEAN,2,1
PREV_NAME_TYPE_SUITE_Other_B_MEAN,8,1
PREV_NAME_TYPE_SUITE_Spouse__partner_MEAN,45,1
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,127,1
PREV_NAME_TYPE_SUITE_nan_MEAN,139,1
PREV_NAME_CLIENT_TYPE_New_MEAN,105,1
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,101,1
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,61,1
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0,1
PREV_NAME_CLIENT_TYPE_nan_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Additional_Service_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,50,1
PREV_NAME_GOODS_CATEGORY_Auto_Accessories_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,6,1
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,43,1
PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,14,1
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,52,1
PREV_NAME_GOODS_CATEGORY_Direct_Sales_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,50,1
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,22,1
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_House_Construction_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,16,1
PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0,1
